10cc,"I'm Not In Love"
"Tony Bennett","In the Middle of an Island"
"Tony Orlando","Bless You"
"Trace Adkins","You're Gonna Miss This"
Tyrese,"How You Gonna Act Like That"
Tyrese,"Sweet Lady"
U2,"Beautiful Day"
UB40,"Red Red Wine"
Usher,Burn
Usher,"Caught Up"
Usher,"There Goes My Baby"
Usher,"U Got It Bad"
Usher,"U Remind Me"
"Van Halen",Jump
"Van Morrison","Brown Eyed Girl"
"Vanilla Ice","Ice Ice Baby"
"Warren G","This D.J."
"Wayne Newton","Daddy Don't You Walk So Fast"
"Whitney Houston",Exhale
"Whitney Houston","Greatest Love Of All"
"Whitney Houston","One Moment In Time"
"Whitney Houston","Where Do Broken Hearts Go"
"Will Smith","Gettin' Jiggy Wit It"
"Will Smith",Miami
"Wilson Phillips","You're In Love"
Wings,"Silly Love Songs"
Xscape,"Just Kickin' It"
"Zac Brown Band","Chicken Fried"
